Date,Close,Volume
14/02/2013,12.13,144104800
13/02/2013,12.17,192742500
12/02/2013,12.25,232173900
11/02/2013,11.86,103510800
08/02/2013,11.76,145321100
07/02/2013,11.84,173209900
06/02/2013,11.93,173626800
05/02/2013,11.88,187785900
04/02/2013,11.48,139733000
01/02/2013,11.71,161141300
31/01/2013,11.32,97024700
30/01/2013,11.38,89130200
29/01/2013,11.49,96824100
28/01/2013,11.48,91304200
25/01/2013,11.62,100171600
24/01/2013,11.53,127870800
23/01/2013,11.42,121638200
22/01/2013,11.35,137242700
18/01/2013,11.14,179971800
17/01/2013,11.28,323622200
16/01/2013,11.78,164579300
15/01/2013,11.55,126058300
14/01/2013,11.47,110032900
11/01/2013,11.63,146136700
10/01/2013,11.78,199964900
09/01/2013,11.43,335692000
08/01/2013,11.98,168461100
07/01/2013,12.09,201403500
04/01/2013,12.11,132601900
03/01/2013,11.96,157149700
02/01/2013,12.03,236021400
